"run_label","records","n.max","n.start","events","rmean","se(rmean)","median","0.95LCL","0.95UCL","run_id"
"run_id=0",33946,33946,33946,2484,5307.52794236729,28.5498521815274,1031.97799721826,976.236680569127,1086.48097518552,0
"run_id=1",33187,33187,33187,2397,5130.50043617223,27.733325075159,816.678637682926,775.594658792019,868.439572865376,1
"run_id=2",33913,33913,33913,2563,5228.57715807156,28.4040941387513,883.545823697932,827.732123535126,939.286838535219,2
"run_id=3",32946,32946,32946,2543,5158.10425209892,26.3235417729768,909.082593578845,849.739633984864,952.831848488189,3
"run_id=4",34138,34138,34138,2539,5156.01760552414,27.8153545869735,809.012913515791,761.435015669558,864.423542782897,4
"run_id=5",34079,34079,34079,2582,5207.60596565569,27.9863105548628,890.235853748396,843.182298705913,941.492552950978,5
"run_id=6",34401,34401,34401,2411,5203.08717601851,28.2466686252036,870.599818147253,823.862367908499,940.178697939962,6
"run_id=7",32413,32413,32413,2392,5067.85771075197,26.8278212812043,819.157390229404,767.348522081971,873.253653779626,7
"run_id=8",32804,32804,32804,2466,5154.04282601849,27.5836878512721,860.918082844466,814.11671782285,941.118875619024,8
"run_id=9",32292,32292,32292,2437,5241.82047422928,28.411647125298,930.909525102004,844.149172704667,978.735757939517,9
"run_id=10",33551,33551,33551,2494,5218.90071489709,27.4169588079082,922.136244912632,870.840248323977,994.26696077548,10
"run_id=11",32967,32967,32967,2429,5126.44600645154,27.2495466593364,833.669861308299,786.30769411847,907.898903883994,11
"run_id=12",32743,32743,32743,2514,5049.13182918063,25.6609043243074,804.088672627695,759.439858973026,852.455674499273,12
"run_id=13",33815,33815,33815,2553,5140.22010695568,26.7870015762298,831.831667517312,790.297034822637,896.093505746685,13
"run_id=14",34997,34997,34997,2578,5257.01870303999,27.3492579833634,943.208431942388,880.9282855317,1003.18184356485,14
"run_id=15",33260,33260,33260,2588,5211.65855240983,26.6452874139572,953.033061794937,896.285773302428,1018.85816519739,15
"run_id=16",32754,32754,32754,2422,5148.16684361185,27.4360378333381,855.085424456047,802.367411204614,903.744926445186,16
"run_id=17",32725,32725,32725,2490,5211.82056370329,28.7189079322291,876.618115156889,819.499590083957,951.480651111808,17
"run_id=18",33018,33018,33018,2390,5059.70075067068,26.3780692213984,802.259915028233,761.627995345742,854.110476145521,18
"run_id=19",34279,34279,34279,2477,5139.64881898929,27.7131286306946,810.008120886981,761.743883352727,859.26684717508,19
"run_id=20",34028,34028,34028,2646,5219.91441168246,27.3984149868629,893.742211908102,835.475372964691,958.323480337858,20
"run_id=21",33298,33298,33298,2492,5284.8373485629,28.5292788153299,951.413539260859,886.789383129217,1013.09555804543,21
"run_id=22",33361,33361,33361,2606,5203.90450005698,27.5315303513281,879.878606328508,816.124804776162,942.054098073393,22
"run_id=23",32148,32148,32148,2448,5139.9571396257,27.8591110691482,819.055023293942,776.492389500141,871.258427921217,23
"run_id=24",31547,31547,31547,2348,5142.50135564443,28.8618860564994,838.334816859802,792.058072121348,911.634219653439,24
"run_id=25",30907,30907,30907,0,9732.24088370986,0,NA,NA,NA,25
"run_id=26",31494,31494,31494,0,9732.24088370986,0,NA,NA,NA,26
"run_id=27",30570,30570,30570,0,9732.24088370986,0,NA,NA,NA,27
"run_id=28",31310,31310,31310,0,9732.24088370986,0,NA,NA,NA,28
"run_id=29",31421,31421,31421,0,9732.24088370986,0,NA,NA,NA,29
"run_id=30",32139,32139,32139,0,9732.24088370986,0,NA,NA,NA,30
"run_id=31",32021,32021,32021,0,9732.24088370986,0,NA,NA,NA,31
"run_id=32",30912,30912,30912,0,9732.24088370986,0,NA,NA,NA,32
"run_id=33",31420,31420,31420,0,9732.24088370986,0,NA,NA,NA,33
"run_id=34",29353,29353,29353,0,9732.24088370986,0,NA,NA,NA,34
"run_id=35",31186,31186,31186,0,9732.24088370986,0,NA,NA,NA,35
"run_id=36",30207,30207,30207,0,9732.24088370986,0,NA,NA,NA,36
